seconds_from_midnight,temp_in_kelvin,rh_in_percent,airchange_in_per_second,light_switch
0,291,70,6.94445E-05,0
3600,291,70,6.94445E-05,0
7200,291,70,6.94445E-05,0
10800,291,70,6.94445E-05,0
14400,291,70,6.94445E-05,0
18000,291,70,6.94445E-05,0
21600,291,70,6.94445E-05,0
25200,296,65,2.77778E-04,0
28800,296,65,2.77778E-04,1
32400,296,65,2.77778E-04,1
36000,296,65,2.77778E-04,1
39600,296,65,2.77778E-04,1
43200,296,65,2.77778E-04,0
46800,296,65,2.77778E-04,0
50400,296,65,2.77778E-04,0
54000,296,65,2.77778E-04,1
57600,298,80,5.55556E-05,1
61200,298,80,5.55556E-05,1
64800,298,80,5.55556E-05,1
68400,298,80,5.55556E-05,1
72000,298,80,5.55556E-05,1
75600,298,80,5.55556E-05,1
79200,298,80,5.55556E-05,1
82800,298,80,5.55556E-05,0
