seconds_from_midnight,temp_in_kelvin,rh_in_percent,airchange_in_per_second,light_switch
0,293,50,0,1
3600,293,50,0,1
7200,293,50,0,1
10800,293,50,0,1
14400,293,50,0,1
18000,293,50,0,1
21600,293,50,0,1
25200,293,50,0,1
28800,293,50,0,1
32400,293,50,0,1
36000,293,50,0,1
39600,293,50,0,1
43200,293,50,0,1
46800,293,50,0,1
50400,293,50,0,1
54000,293,50,0,1
57600,293,50,0,1
61200,293,50,0,1
64800,293,50,0,1
68400,293,50,0,1
72000,293,50,0,1
75600,293,50,0,1
79200,293,50,0,1
82800,293,50,0,1
