species,tstart1_in_seconds,tend1_in_seconds,emis1_in_molcm-3sec-1,tstart2_in_seconds,tend2_in_seconds,emis2_in_molcm-3sec-1,tstart3_in_seconds,tend3_in_seconds,emis3_in_molcm-3sec-1,tstart4_in_seconds,tend4_in_seconds,emis4_in_molcm-3sec-1,tstart5_in_seconds,tend5_in_seconds,emis5_in_molcm-3sec-1,tstart6_in_seconds,tend6_in_seconds,emis6_in_molcm-3sec-1
LIMONENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APINENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
