seconds_from_midnight,wind_speed,wind_direction
0,2.32,92.77
3600,2.32,92.77
7200,1.42,84.51
10800,5.8,27
14400,5.4,24
18000,5.6,24.5
21600,3.9,17
25200,3.5,15
28800,3.3,16
32400,12.6,275
36000,14.5,277
39600,13.8,281
43200,16,285.5
46800,18.1,284
50400,12.4,279
54000,9.8,131
57600,9,133
61200,7.4,132.5
64800,7.6,132
68400,7.1,130
72000,11.8,219
75600,11.4,221
79200,11.5,222
82800,11.7,220.5
