seconds_from_midnight,n_adults,n_children
0,2,1
3600,2,1
7200,2,1
10800,2,1
14400,2,1
18000,2,1
21600,2,1
25200,2,1
28800,2,1
32400,2,1
36000,2,1
39600,2,1
43200,2,1
46800,2,1
50400,2,1
54000,2,1
57600,2,1
61200,2,1
64800,2,1
68400,2,1
72000,2,1
75600,2,1
79200,2,1
82800,2,1
